MES;AÑO;FECHA_BL;NÚMERO_EMBARQUE;CÓDIGO_INCOTERMS;NÚMERO_CONTRATO;PROVEEDOR;PRODUCTO;BARRILES;COSTO_FOB;COSTO_FLETE;COSTO_SEGURO;COSTO_CIF;COSTO_CFR
3;2026;17/3/2026;2026026T15 2;7;CI-02-2025;Puma Energy;Av-Gas;431,48;65991;24102,47;114,22;90207,69;90093,47
3;2026;25/3/2026;2026026T15 3;7;CI-02-2025;Puma Energy;Av-Gas;215,17;32908,03;12019,4;56,96;44984,38;44927,43
3;2026;20/3/2026;2026035A04;2;CI-09-2025;Gunvor S.A.;Asfalto PG-64-22;40649,07;3051619,61;554046,82;4552,33;3610218,76;3605666,43
3;2026;14/3/2026;2026037L50;7;CI-01-2025;Carib LPG Trading Ltd;LPG (70-30);53057,89;1860991,05;636694,66;3153,45;2500839,16;2497685,71
4;2026;9/4/2026;2026039I02;7;CE-01-2026;Trafigura PTE Ltd;Bunker Térmico ICE 2;150000;12592276,02;1842000;18223,98;14452500;14434276,02
3;2026;17/3/2026;2026040G06;7;CI-11-2025;Chevron Productos Company;Gasolina RON 95;315197,76;33462670,55;2143344,47;44954,34;35650969,66;35606015,02
3;2026;17/3/2026;2026041D12;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Diésel para uso automotriz de 50 ppm de azufre;212445,87;31277281,6;1444631,92;41313,02;32763226,54;32721913,52
3;2026;17/3/2026;2026041D12;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Jet fuel A;69592,77;11606611,62;473230,83;15251,39;12095093,84;12079842,45
3;2026;29/3/2026;2026042L51;7;CI-01-2025;Carib LPG Trading Ltd;LPG (70-30);73471,1;2760942,66;881653,25;4598,96;3647194,86;3642595,91
3;2026;25/3/2026;2026043D13;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Diésel para uso automotriz de 50 ppm de azufre;255507,44;38079066,88;1737450,59;50270,3;39866787,77;39816517,47
3;2026;25/3/2026;2026043D13;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Jet fuel A;58143,92;10158325,07;395378,66;13324,57;10567028,3;10553703,73
4;2026;8/4/2026;2026044F04;7;CI-04-2025;Hartree Partners LP;Bunker;40305,96;3362107,47;533247,85;4918,08;3900273,4;3895355,32
4;2026;2/4/2026;2026046L01;7;CI-01-2026;Geogas Trading S.A.;LPG (70-30);60090,71;2253914,48;721088,52;3756,09;2978759,09;2975003
4;2026;6/4/2026;2026047M04;7;CI-11-2025;Marathon International Products Supply LLC;Gasolina RON 91;314447,6;38803286,92;1572238;50976,08;40426501;40375524,92
4;2026;3/4/2026;2026048D14;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Diésel para uso automotriz de 50 ppm de azufre;225052,14;36153041,92;1125260,7;47065,68;37325368,31;37278302,62
4;2026;3/4/2026;2026048D14;4;CI-11-2025;Exxon Mobil Sales & Supply LLC;Jet fuel A;75147,07;14052516,07;375735,35;18216,37;14446467,79;14428251,42
3;2026;31/3/2026;2026050G07;7;CI-11-2025;Chevron Productos Company;Gasolina RON 95;285457,66;34755277,31;1941112,09;46330,99;36742720,39;36696389,4
